,address,timestamp,amountStaked
63,0xbda0020b6e44db02ca73e65819ad33eea4a2111c,2022-03-30T22:49:48,1010
64,0xbda0020b6e44db02ca73e65819ad33eea4a2111c,2022-04-07T21:04:33,2000
65,0xeabdff58088179bca0d8255ea2fbe036e3e5ef3b,2022-03-30T22:56:20,1011
66,0xe6cc5e3ebb07b5156ba3af510b8c6ca19804d88e,2022-03-30T23:01:57,5000
67,0x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,2022-03-30T23:32:30,20000
68,0xe188e4f2ce31b507d7fae2397ad66c5fe4504ff7,2022-03-31T00:16:57,2003
69,0x046f601cbcbfa162228897ac75c9b61daf5cee5f,2022-03-31T00:22:35,600
70,0x18bd2e8b69e48c5e6deae13682b1f78d1c260bf9,2022-03-31T01:41:07,6000
71,0xda4807e777e2e4a6b2ab075bdc0aef459e708cbe,2022-03-31T06:10:41,30000
72,0x31c039383d787457b75d185d820d4a37ab80dad2,2022-03-31T06:22:53,1500000
73,0x746c7757501193af295797d4f338121cf22a4acd,2022-04-07T16:00:14,29995
74,0xcdb2de3c7e3523f943904bdaab94e316853601ee,2022-04-07T16:00:40,8737
75,0xcdb2de3c7e3523f943904bdaab94e316853601ee,2022-04-08T14:04:45,2500
76,0x66b1e927c3d35cbf4de05a29dcd76ae4d8947081,2022-04-07T16:00:40,988
77,0x193f0ee42a199a0cecd479a9f09ba293eb1ca357,2022-04-07T16:00:40,52597
78,0xb38bfe8f08a059e172a34a2e916379c673c36420,2022-04-07T16:00:50,500
79,0xb38bfe8f08a059e172a34a2e916379c673c36420,2022-04-07T16:24:31,4501
80,0x4a2ff57467db1290cf32cf106c96987d5f4eca1a,2022-04-07T16:00:50,10000
81,0x2a03278590cd1962de28f9abc855cf3774fe3eb6,2022-04-07T16:01:09,1008
82,0x5f13fbd61bc5dc77758d72f4fbf17ba591f1962f,2022-04-07T16:01:40,19996
83,0xfd9ce48c96617bf6ccc7c37044b1a22638b71e02,2022-04-07T16:01:40,100000
84,0x9f9ebce72c0715cdbad4d589986eb22f6782a1ce,2022-04-07T16:02:55,3000
85,0x10216d6b520a9e033769393c65c2efd94303684b,2022-04-07T16:03:20,5422
86,0x10216d6b520a9e033769393c65c2efd94303684b,2022-04-17T05:31:32,911
87,0xb9df1ac065aba19fb4a23328784665b9b19dee31,2022-04-07T16:03:20,10000
88,0x9d32f1e7c5ff707e92b4b30937a1e5e2c2de2462,2022-04-07T16:07:26,1100
89,0x16a3b440c18cc022a735f298659c008f9622f799,2022-04-07T16:09:31,2700
90,0x4c6bb92f83e0e978270e8325181adee3f1d0df7f,2022-04-07T16:11:32,2954
91,0xef47003f0e276eb0fb60b626e80554dd7adcdd11,2022-04-07T16:12:49,52765
92,0x317379256fddcb3ec5a5eb00b044fd9575038b7f,2022-04-07T16:17:37,4000
93,0xac5348a948ce281e0507d4fc87e08c28612d8e8d,2022-04-07T16:18:38,3300
94,0xa337321a3b9909aec6e7053ef8e8fdb24e4614f2,2022-04-07T16:20:14,5000000
95,0x9859f916c7b46aeae52bee615f93f2f4641bbe6e,2022-04-07T16:23:24,1049
96,0x8d470921050899284b451d6a65f4204eee4aaf8f,2022-04-07T16:25:51,1668
97,0x07e39e8e9d519e3ae3f7b030ab5e03493cd4b945,2022-04-07T16:30:20,49990
98,0xee160154b02a2e404c6c13ff0b28ed76010cf07d,2022-04-07T16:30:43,500444
99,0x09635f1a9e74772789978b012f132ec97983963e,2022-04-07T16:40:17,2500
100,0x63eeba70536d2d0778c66abfa854e2023e9ac24e,2022-04-07T16:44:21,1010
101,0xcc2939843eb9b1739187d79a3aa164f59d6f56de,2022-04-07T16:45:03,300
102,0x9935eabef41c6f9932579f2eb86bdb77ffd63327,2022-04-07T16:50:22,1500
103,0xd01a2311ca001241502394d25bc08b0ad8cd2229,2022-04-07T16:52:03,4481
104,0x3a1b938670eb674a710e767f3ef2b2e0e976984a,2022-04-07T16:55:30,3939
105,0xdd98b9e40f29b6e8126db8a0ec683303b7c6626a,2022-04-07T16:58:08,1119
106,0xd3aecf9e0856822bd320873e905ae9f78a2977e7,2022-04-07T16:58:32,3176
107,0xd4e26683635bf3dc9ead5f31b935c33cc1ce1838,2022-04-07T17:31:46,500000
108,0x11d67fa925877813b744abc0917900c2b1d6eb81,2022-04-07T17:36:43,300000
109,0x864b81c40d8314d5c4289a14eb92f03b9f43b6bc,2022-04-07T17:44:18,200000
110,0x11e2463446ae4df20128044aae992f0d07d4a6ad,2022-04-07T17:50:01,492
111,0x644be8a25be30a21e2dffeae4fc43937fbcf3efd,2022-04-07T18:52:49,4500
112,0xb193da6f9f2252be679fd5b020c22ded01f4ec8d,2022-04-07T19:13:53,200000
113,0xbe3026eca9dd524401ceb3b703d7972497332325,2022-04-07T19:36:22,2000
114,0x33ce1310e0e95bdb74fe3ba755231b0fe1849105,2022-04-07T20:11:11,2000
115,0x4f9484348af66460fc3d5f79f091b6ff4f0aae5f,2022-04-07T20:21:56,425
116,0x1a2a24e8ac0bd22c4f9b4fdf34bfcd30820246bc,2022-04-07T20:29:30,321
117,0xcc3529c09dbeec382804ef0e8ecd18797665eed1,2022-04-07T20:31:41,1092
118,0xf596f9420234ad8ad4486518113680fbf4054420,2022-04-07T20:34:23,1000
119,0x8aa4243ef5fe3d6ebe375fa6d47a710266cb0caf,2022-04-07T20:34:33,149
120,0xdaccce559a0571083556f39d05b177579613d83b,2022-04-07T20:34:33,111
121,0xba181deb98afc2202202c9aebf26b18f46d70497,2022-04-07T20:42:13,10000
122,0xb52e056572e091dfa12beb038d898b27292aa4ec,2022-04-07T20:50:21,151
123,0xf436f85a9c26fc71afff2e9dd36c0eee66b8e1de,2022-04-07T21:02:50,10000
124,0x3edc48974ecc602f5648bffbdbb90e766b19556d,2022-04-07T21:06:03,20001
125,0x1b87b6ef6de51d272bd30493d0761d9a8de6b3d0,2022-04-07T21:20:35,1301
126,0x0e2e091221b1d79cce17f240515443dc139c7d90,2022-04-07T21:23:50,10000
